Vehicle,Make,Model,Suffix,Sales,Powertrain,Combined_Type,Weight_Lowest,Weight_Highest,Class,Subclass,Subclass_Add,Refund_Federal,Refund_State,Fueltype,Battery_Power,Battery_Capacity,Fuelcell_Power,CD_Gasoline,Lightweighting,MSRP_Lowest,MSRP_Highest,Trim1_Name,Trim1_Style,Trim1_MSRP,Trim1_MPG_City,Trim1_MPG_Highway,Trim1_MPG_City_CD,Trim1_MPG_Highway_CD,Trim1_Transmission,Trim1_Cylinders,Trim1_HP
Nissan Versa,Nissan,Versa,,139781,ICEV,ICEV,2437,2498,Sedan/Hatchback,Subcompact,,,,,,,,,,11990,16890,1.6 S+,4dr Sedan,13790,31,40,,,Xtronic 2-spd CVT w/overdrive,4,109
Nissan Versa,Nissan,Versa,,139781,ICEV,ICEV,2437,2498,Sedan/Hatchback,Subcompact,,,,,,,,,,11990,16890,1.6 S,4dr Sedan,11990,27,36,,,5-spd manual w/overdrive,4,109
Subaru Outback,Subaru,Outback,,138790,ICEV,ICEV,3423,3648,SUV,Mid-size,,,,,,,,,,23495,32095,2.5i Limited,4dr All-wheel Drive Wagon,29095,24,30,,,Lineartronic 6-spd CVT w/overdrive,4,173
Subaru Outback,Subaru,Outback,,138790,ICEV,ICEV,3423,3648,SUV,Mid-size,,,,,,,,,,23495,32095,3.6R Limited,4dr All-wheel Drive Wagon,32095,17,25,,,5-spd automatic w/overdrive,6,256
Chrysler Town&Country,Chrysler,Town&Country,,138040,ICEV,ICEV,4652,,Minivan,,,,,,,,,,,30765,41995,Touring,Front-wheel Drive LWB Passenger Van,30765,17,25,,,6-spd multi-speed automatic w/overdrive,6,283
Dodge Grand Caravan,Dodge,Grand Caravan,,134152,ICEV,ICEV,4321,4483,Minivan,,,,,,,,,,,20895,29995,AVP/SE,Front-wheel Drive Passenger Van,20895,17,25,,,6-spd multi-speed automatic w/overdrive,6,283
Toyota Sienna,Toyota,Sienna,,124502,ICEV,ICEV,4310,4770,Minivan,,,,,,,,,,,26920,41710,L V6 7 Passenger,4dr Front-wheel Drive Passenger Van,26920,18,25,,,6-spd automatic w/overdrive,6,266
Toyota Sienna,Toyota,Sienna,,124502,ICEV,ICEV,4310,4770,Minivan,,,,,,,,,,,26920,41710,LE 7 Passenger,4dr All-wheel Drive Passenger Van,32920,16,23,,,6-spd automatic w/overdrive,6,266
Honda Odyssey,Honda,Odyssey,,122738,ICEV,ICEV,4396,4613,Minivan,,,,,,,,,,,28825,44450,LX,Passenger Van,28825,19,28,,,6-spd automatic w/overdrive,6,248
Volkswagen Jetta Sedan,Volkswagen,Jetta,Sedan,122192,ICEV,ICEV,2804,3210,Sedan/Hatchback,Compact,,,,,,,,,,15695,29775,1.8T SE,4dr Sedan,18895,26,36,,,5-spd manual w/overdrive,4,170
Volkswagen Jetta Sedan,Volkswagen,Jetta,Sedan,122192,ICEV,ICEV,2804,3210,Sedan/Hatchback,Compact,,,,,,,,,,15695,29775,GLI,4dr Sedan,24535,23,33,,,6-spd manual w/overdrive,4,210
Toyota Tundra,Toyota,Tundra,,118493,ICEV,ICEV,4760,5860,Pickup,,,,,,,,,,,26200,47600,SR V6,4x2 Regular Cab Long Bed 8 ft. box 145.7 in. WB,26200,16,20,,,5-spd automatic w/overdrive,6,270
Toyota Tundra,Toyota,Tundra,,118493,ICEV,ICEV,4760,5860,Pickup,,,,,,,,,,,26200,47600,SR 5.7L V8 w/FFV,4x4 Regular Cab Long Bed 8 ft. box 145.7 in. WB,31795,13,17,,,6-spd automatic w/overdrive,8,381
Chrysler 200,Chrysler,200,,117363,ICEV,ICEV,3402,4000,Sedan/Hatchback,Mid-size,,,,,,,,,,21795,33445,LX,4dr Sedan,21795,21,30,,,4-spd automatic w/overdrive,4,173
Chrysler 200,Chrysler,200,,117363,ICEV,ICEV,3402,4000,Sedan/Hatchback,Mid-size,,,,,,,,,,21795,33445,Touring,2dr Convertible,27950,18,29,,,6-spd multi-speed automatic w/overdrive,4,173
Ford Edge,Ford,Edge,,108864,ICEV,ICEV,4056,4458,SUV,Mid-size,,,,,,,,,,28100,39550,SE,4dr Front-wheel Drive,28100,19,27,,,6-spd automatic w/overdrive,6,285
Ford Edge,Ford,Edge,,108864,ICEV,ICEV,4056,4458,SUV,Mid-size,,,,,,,,,,28100,39550,Sport,4dr All-wheel Drive,39550,17,23,,,6-spd automatic w/overdrive,6,305
Honda Pilot,Honda,Pilot,,108857,ICEV,ICEV,4299,4608,SUV,Mid-size,,,,,,,,,,29670,41420,LX,4dr Front-wheel Drive,29670,18,25,,,5-spd automatic w/overdrive,6,250
Honda Pilot,Honda,Pilot,,108857,ICEV,ICEV,4299,4608,SUV,Mid-size,,,,,,,,,,29670,41420,LX,4dr 4x4,31270,17,24,,,5-spd automatic w/overdrive,6,250
Hyundai Santa Fe,Hyundai,Santa Fe,,107906,ICEV,ICEV,3904,4085,SUV,Mid-size,,,,,,,,,,29900,35750,GLS,4dr Front-wheel Drive,29900,18,25,,,6-spd automatic w/overdrive,6,290
Hyundai Santa Fe,Hyundai,Santa Fe,,107906,ICEV,ICEV,3904,4085,SUV,Mid-size,,,,,,,,,,29900,35750,GLS,4dr All-wheel Drive,31650,18,24,,,6-spd automatic w/overdrive,6,290
GMC Terrain,GMC,Terrain,,105016,ICEV,ICEV,3853,4049,SUV,Mid-size,,,,,,,,,,26465,36905,SLE-1,Front-wheel Drive Sport Utility,26465,22,32,,,6-spd automatic w/overdrive,4,182
GMC Terrain,GMC,Terrain,,105016,ICEV,ICEV,3853,4049,SUV,Mid-size,,,,,,,,,,26465,36905,SLE-1,All-wheel Drive Sport Utility,28215,20,29,,,6-spd automatic w/overdrive,4,182
Mazda 3,Mazda,3,,104985,ICEV,ICEV,2781,3002,Sedan/Hatchback,Compact,,,,,,,,,,16945,26495,i SV,4dr Sedan,16945,29,41,,,6-spd manual w/overdrive,4,155
Mazda 3,Mazda,3,,104985,ICEV,ICEV,2781,3002,Sedan/Hatchback,Compact,,,,,,,,,,16945,26495,s Touring,4dr Hatchback,25095,27,37,,,6-spd automatic w/overdrive,4,184
Chevrolet Traverse,Chevrolet,Traverse,,103943,ICEV,ICEV,4647,4841,SUV,Full-size,,,,,,,,,,30795,43255,LS,Front-wheel Drive,30795,17,24,,,6-spd automatic w/overdrive,6,281
